Index;Education level;Degree;Tuition fees;ID;Branches of Science;Group of Professions;Year;Number of Applications;Number of Students
3236;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;History and Archaeology;2023;0;0
3237;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;Philosophy, Ethics, and Religious Studies;2023;0;0
3238;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;Theology;2023;0;0
3239;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;Physical Education and Sports;2023;0;0
3240;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Art History;2023;0;0
3241;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2023;476;86
3242;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Performing Arts and Literary Creativity;2023;10209;990
3243;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Musical Art;2023;3818;1274
3244;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Design and Restoration;2023;7466;1006
3245;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Film and Screen Arts;2023;5937;342
3246;Higher Education;Specialist's degree;Scholarship / tuition-free;9;Military Science;Military Management;2023;85;12
3247;Higher Education;Specialist's degree;Scholarship / tuition-free;9;Military Science;Ensuring National Security;2023;NaN;NaN
3248;Higher Education;Specialist's degree;Scholarship / tuition-free;10;Oriental and African Studies;Oriental and African Studies;2023;0;0
3249;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2023;14695;3774
3250;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Computer Science;2023;6636;1396
3251;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Physics and Astronomy;2023;5137;2309
3252;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Chemistry;2023;3307;1358
3253;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Earth Science;2023;9543;3087
3254;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Biological Sciences;2023;6167;2415
3255;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Architecture;2023;5031;1496
3256;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Construction Equipment and Technologies;2023;20938;5313
3257;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Technology;2023;55730;10855
3258;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Security;2023;4123;858
3259;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2023;12251;3834
3260;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2023;4934;1738
3261;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Electrical and Thermal Power Engineering;2023;12772;4685
3262;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Nuclear Energy and Technology;2023;951;623
3263;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Mechanical Engineering;2023;16658;5019
3264;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2023;1478;595
3265;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Weaponry and Military Technology;2023;75;39
3266;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Chemical Technologies;2023;7238;2579
3267;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Ecology and Biotechnology;2023;7898;2631
3268;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Safety and Environmental Management;2023;9127;2506
3269;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2023;10541;2685
3270;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Material Technology;2023;4814;1646
3271;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Transport Equipment and Technologies;2023;4928;1628
3272;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2023;1826;724
3273;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2023;1338;405
3274;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2023;1515;537
3275;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Technical Management;2023;14845;3771
3276;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Nanotechnology;2023;777;229
3277;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Light Industry Technologies;2023;1186;460
3278;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Fundamental Medicine;2023;0;0
3279;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Clinical Medicine;2023;0;0
3280;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2023;328;131
3281;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Pharmacy;2023;394;100
3282;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Nursing;2023;0;0
3283;Higher Education;Master's degree;Scholarship / tuition-free;4;Agriculture;Agriculture, Forestry, and Fisheries;2023;16420;5591
3284;Higher Education;Master's degree;Scholarship / tuition-free;4;Agriculture;Veterinary Medicine and Zootechnics;2023;4197;1738
3285;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Psychology;2023;10888;1534
3286;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Economics and Management;2023;63011;9367
3287;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Sociology and Social Services;2023;8369;2449
3288;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Jurisprudence;2023;29357;4704
3289;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Political Science and Regional Studies;2023;8669;1761
3290;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Mass Media and Information;2023;10137;1439
3291;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Service and Tourism;2023;6896;1846
3292;Higher Education;Master's degree;Scholarship / tuition-free;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2023;73941;21222
3293;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Linguistics and Philology;2023;15588;4409
3294;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;History and Archaeology;2023;5448;1894
3295;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Philosophy, Ethics, and Religious Studies;2023;1823;504
3296;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Theology;2023;443;175
3297;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Physical Education and Sports;2023;8291;2269
3298;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Art History;2023;1111;239
3299;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2023;3095;882
3300;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Performing Arts and Literary Creativity;2023;407;117
3301;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Musical Art;2023;793;383
3302;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Design and Restoration;2023;3677;904
3303;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Film and Screen Arts;2023;0;0
3304;Higher Education;Master's degree;Scholarship / tuition-free;9;Military Science;Military Management;2023;0;0
3305;Higher Education;Master's degree;Scholarship / tuition-free;9;Military Science;Ensuring National Security;2023;NaN;NaN
3306;Higher Education;Master's degree;Scholarship / tuition-free;10;Oriental and African Studies;Oriental and African Studies;2023;1251;348
3307;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2023;31947;2525
3308;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Computer Science;2023;15652;1431
3309;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Physics and Astronomy;2023;3909;140
3310;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Chemistry;2023;5362;443
3311;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Earth Science;2023;12321;1485
3312;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Biological Sciences;2023;10543;901
3313;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Architecture;2023;18488;4390
3314;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Construction Equipment and Technologies;2023;39082;14056
3315;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Information Technology;2023;217550;37596
3316;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Information Security;2023;30327;2417
3317;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2023;26056;3262
3318;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2023;7449;527
3319;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Electrical and Thermal Power Engineering;2023;35501;13588
3320;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Nuclear Energy and Technology;2023;914;85
3321;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Mechanical Engineering;2023;49961;12656
3322;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2023;1003;39
3323;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Weaponry and Military Technology;2023;136;3
3324;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Chemical Technologies;2023;9515;2661
3325;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Ecology and Biotechnology;2023;13215;2797
3326;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Safety and Environmental Management;2023;17464;5415
3327;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2023;32246;7950
3328;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Material Technology;2023;4495;809
3329;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Transport Equipment and Technologies;2023;19799;6645
3330;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2023;2958;382
3331;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2023;5988;1196
3332;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2023;2717;294
3333;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Technical Management;2023;25662;4054
3334;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Nanotechnology;2023;2770;54
3335;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Light Industry Technologies;2023;2657;636
3336;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Fundamental Medicine;2023;0;0
3337;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Clinical Medicine;2023;0;0
3338;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2023;0;0
3339;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Pharmacy;2023;0;0
3340;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Nursing;2023;4401;1269
3341;Higher Education;Bachelor's degree;Full pay / tuition fee;4;Agriculture;Agriculture, Forestry, and Fisheries;2023;25739;5279
3342;Higher Education;Bachelor's degree;Full pay / tuition fee;4;Agriculture;Veterinary Medicine and Zootechnics;2023;5885;647
3343;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Psychology;2023;49211;14976
3344;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Economics and Management;2023;471649;122041
3345;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Sociology and Social Services;2023;28865;2638
3346;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Jurisprudence;2023;210242;80325
3347;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Political Science and Regional Studies;2023;49614;5694
3348;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Mass Media and Information;2023;132236;25047
3349;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Service and Tourism;2023;41071;6468
3350;Higher Education;Bachelor's degree;Full pay / tuition fee;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2023;209975;48162
3351;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Linguistics and Philology;2023;110262;15612
3352;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;History and Archaeology;2023;20935;2236
3353;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Philosophy, Ethics, and Religious Studies;2023;4427;345
3354;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Theology;2023;1746;959
3355;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Physical Education and Sports;2023;17122;3625
3356;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Art History;2023;6505;1418
3357;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2023;15146;2546
3358;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Performing Arts and Literary Creativity;2023;2272;662
3359;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Musical Art;2023;3304;1215
3360;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Design and Restoration;2023;33287;9259
3361;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Film and Screen Arts;2023;0;0
3362;Higher Education;Bachelor's degree;Full pay / tuition fee;9;Military Science;Military Management;2023;0;0
3363;Higher Education;Bachelor's degree;Full pay / tuition fee;9;Military Science;Ensuring National Security;2023;NaN;NaN
3364;Higher Education;Bachelor's degree;Full pay / tuition fee;10;Oriental and African Studies;Oriental and African Studies;2023;8512;1185
3365;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2023;2010;61
3366;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Computer Science;2023;0;0
3367;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Physics and Astronomy;2023;704;48
3368;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Chemistry;2023;1807;75
3369;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Earth Science;2023;0;0
3370;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Biological Sciences;2023;1379;141
3371;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Architecture;2023;0;0
3372;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Construction Equipment and Technologies;2023;5059;308
3373;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Information Technology;2023;170;5
3374;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Information Security;2023;18278;1179
3375;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2023;2328;46
3376;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2023;288;22
3377;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Electrical and Thermal Power Engineering;2023;50;2
3378;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Nuclear Energy and Technology;2023;1091;111
3379;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Mechanical Engineering;2023;970;160
3380;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2023;67;2
3381;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Weaponry and Military Technology;2023;639;25
3382;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Chemical Technologies;2023;496;4
3383;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Ecology and Biotechnology;2023;0;0
3384;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Safety and Environmental Management;2023;1562;646
3385;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2023;19212;7003
3386;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Material Technology;2023;0;0
3387;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Transport Equipment and Technologies;2023;17048;5092
3388;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2023;4399;214
3389;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2023;2223;106
3390;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2023;4595;1420
3391;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Technical Management;2023;123;5
3392;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Nanotechnology;2023;0;0
3393;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Light Industry Technologies;2023;0;0
3394;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Fundamental Medicine;2023;7266;355
3395;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Clinical Medicine;2023;207143;42879
3396;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2023;7964;351
3397;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Pharmacy;2023;14531;1989
3398;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Nursing;2023;0;0
3399;Higher Education;Specialist's degree;Full pay / tuition fee;4;Agriculture;Agriculture, Forestry, and Fisheries;2023;0;0
3400;Higher Education;Specialist's degree;Full pay / tuition fee;4;Agriculture;Veterinary Medicine and Zootechnics;2023;9766;2420
3401;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Psychology;2023;19606;3085
3402;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Economics and Management;2023;60728;19335
3403;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Sociology and Social Services;2023;0;0
3404;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Jurisprudence;2023;86609;21503
3405;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Political Science and Regional Studies;2023;0;0
3406;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Mass Media and Information;2023;0;0
3407;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Service and Tourism;2023;0;0
3408;Higher Education;Specialist's degree;Full pay / tuition fee;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2023;2182;112
3409;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Linguistics and Philology;2023;11962;1686
3410;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;History and Archaeology;2023;0;0
3411;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Philosophy, Ethics, and Religious Studies;2023;0;0
3412;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Theology;2023;0;0
3413;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Physical Education and Sports;2023;0;0
3414;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Art History;2023;0;0
3415;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2023;400;97
3416;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Performing Arts and Literary Creativity;2023;7730;1650
3417;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Musical Art;2023;1148;420
3418;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Design and Restoration;2023;4080;661
3419;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Film and Screen Arts;2023;4997;1116
3420;Higher Education;Specialist's degree;Full pay / tuition fee;9;Military Science;Military Management;2023;40;5
3421;Higher Education;Specialist's degree;Full pay / tuition fee;9;Military Science;Ensuring National Security;2023;NaN;NaN
3422;Higher Education;Specialist's degree;Full pay / tuition fee;10;Oriental and African Studies;Oriental and African Studies;2023;0;0
3423;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2023;5784;1699
3424;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Computer Science;2023;4247;582
3425;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Physics and Astronomy;2023;1398;350
3426;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Chemistry;2023;757;220
3427;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Earth Science;2023;2202;683
3428;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Biological Sciences;2023;2254;751
3429;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Architecture;2023;1911;463
3430;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Construction Equipment and Technologies;2023;11856;5115
3431;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Information Technology;2023;22109;6726
3432;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Information Security;2023;2202;780
3433;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2023;2511;934
3434;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2023;680;241
3435;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Electrical and Thermal Power Engineering;2023;5907;2493
3436;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Nuclear Energy and Technology;2023;156;110
3437;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Mechanical Engineering;2023;4139;1798
3438;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2023;96;32
3439;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Weaponry and Military Technology;2023;10;3
3440;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Chemical Technologies;2023;1856;882
3441;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Ecology and Biotechnology;2023;3933;753
3442;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Safety and Environmental Management;2023;2974;1332
3443;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2023;6266;2550
3444;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Material Technology;2023;1641;369
3445;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Transport Equipment and Technologies;2023;2185;1037
3446;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2023;479;281
3447;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2023;591;256
3448;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2023;283;112
3449;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Technical Management;2023;4448;1613
3450;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Nanotechnology;2023;112;46
3451;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Light Industry Technologies;2023;161;60
3452;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Fundamental Medicine;2023;0;0
3453;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Clinical Medicine;2023;0;0
3454;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2023;546;394
3455;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Pharmacy;2023;281;154
3456;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Nursing;2023;279;219
3457;Higher Education;Master's degree;Full pay / tuition fee;4;Agriculture;Agriculture, Forestry, and Fisheries;2023;3778;1478
3458;Higher Education;Master's degree;Full pay / tuition fee;4;Agriculture;Veterinary Medicine and Zootechnics;2023;769;272
3459;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Psychology;2023;20514;11198
3460;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Economics and Management;2023;94395;41255
3461;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Sociology and Social Services;2023;3006;644
3462;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Jurisprudence;2023;50062;24963
3463;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Political Science and Regional Studies;2023;6742;1622
3464;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Mass Media and Information;2023;8303;2389
3465;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Service and Tourism;2023;2120;481
3466;Higher Education;Master's degree;Full pay / tuition fee;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2023;30325;10266
3467;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Linguistics and Philology;2023;8771;2423
3468;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;History and Archaeology;2023;1960;475
3469;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Philosophy, Ethics, and Religious Studies;2023;780;200
3470;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Theology;2023;732;455
3471;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Physical Education and Sports;2023;3599;1263
3472;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Art History;2023;1503;629
3473;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2023;1413;481
3474;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Performing Arts and Literary Creativity;2023;466;209
3475;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Musical Art;2023;1447;821
3476;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Design and Restoration;2023;2034;933
